review_text,clean_text,sentiment,predicted_sentiment,positive_probability,possible_reason
tingkatkan,tingkat,negative,positive,0.9231875710506027,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
cepat singkat sampai tujuan,cepat singkat tuju,negative,positive,0.9097255892148561,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
pelayanan kuramg bagus,layan kuramg bagus,negative,positive,0.9066886434222174,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aplikasi tidak bagusnot recommended,bagusnot recommended,negative,positive,0.8294358302934972,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kenapa ya pelayanan Gojek skrng krng bagus apa keuangan perusahaan tidak baik2 saja,layan skrng krng bagus apa keuangan usaha baik,negative,positive,0.7766458075019583,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Aplikasi gak menolong dan gak membantu untuk sekarang,bantu sekarang,negative,positive,0.7735128750260891,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
mmm PO of ok PP i kpo PP PP all km p2 2 os5 2  0p PP no p PP p ol pool PP oop,mmm po of pp kpo pp pp all km os pp no pp ol pool pp oop,negative,positive,0.7375821588893177,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Penyelesaian masalah sangat tidak baik,selesai masalah sangat baik,negative,positive,0.7032697059031735,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Adakan goride nego Jakarta kapan,adakan goride nego jakarta kapan,negative,positive,0.685801943403489,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
gojek maikin parahtitik lokasi maps dimana GPS dimana gak sesuai tolong lebih diperhatikan,maikin parahtitik lokasi maps gps sesuai lebih perhati,negative,positive,0.6741676217237111,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
gomed nya sudah gak ada ya di apk,gomed,negative,positive,0.6597140427104778,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Sekiranya bisa lebih cepat penyelesaian masalahnya,sekiranya lebih cepat selesai masalah,negative,positive,0.6568172838563267,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Rute goridere selalu di lewatin jln kecil banyak polisi tidur menghambat percalan menyebalkan,rute goridere selalu lewatin jln kecil banyak polisi tidur menghambat percalan sebal,negative,positive,0.6400571102636922,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Suka eror ga jelas Tolong diperbaiki lagi Terima kasih,suka eror jelas baik terima kasih,negative,positive,0.6296298354562779,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Tambahin cabang di galang sumut,tambahin cabang galang sumut,negative,positive,0.6123068560663809,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Sangat Tidak Puas Lupa PIN Udah Hilang gabisa Masuk,sangat puas lupa pin hilang gabisa masuk,negative,positive,0.6048235553133385,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Banyak yg pake mod,banyak pake mod,negative,positive,0.5559115676290911,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Skrng sm sekali g bs buka aplikasi gojeknya pdhal saldo lumayan bnyk didlm,skrng sm sekali bs buka pdhal saldo lumayan bnyk didlm,negative,positive,0.5496432447122013,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Lah driver lg pusing menekan pengeluar supaya ga banyak utang nih tawarin ngutang,lah driver lg pusing menekan pengeluar banyak utang tawarin ngutang,negative,positive,0.54428813848139,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Gosendnya busukkk,gosendnya busukkk,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Antoh neh psyouh bek gawei tokes,antoh neh psyouh bek gawei tokes,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Atw sx3xca,atw sx xca,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Apk ajg,ajg,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
NT ONIK,nt onik,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Buat masukk gak bisa2,masukk,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
Kevo,kevo,negative,positive,0.539655172413793,"Kemungkinan ada sarkasme, typo, slang, atau konteks domain yang sulit ditangkap model."
